Film,Year,Major Studio,Rotten Tomatoes,Audience Score,Genre,Budget ($m),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Market Profitability
Black Swan,2010,Fox,88,86,Drama,13,106.95,222.44,329.39,25.3377
Blades of Glory,2007,Paramount,69,66,Comedy,61,118.59,27.11,145.71,2.3887
Body of Lies,2008,Warner Bros.,53,65,Action,67.5,39.19,75.7,114.89,1.7021
Bolt,2008,Disney,89,76,Animation,150,109.9,195.93,305.83,2.0388
Bride Wars,2009,Fox,11,56,Comedy,30,58.75,56.43,115.15,3.8383
Brooklyn's Finest,2010,Independent,42,47,Action,17,27.2,9.15,36.35,2.1382
Brothers,2009,Lionsgate,61,62,Drama,26,28.5,14.77,43.27,1.6642
Bruno,2009,Universal,68,48,Comedy,42,60.1,70.7,130.8,3.1143
Buried,2010,Independent,86,63,Drama,2,1.04,17.33,18.37,9.185
Burlesque,2010,Paramount,36,66,Drama,55,38.24,17.84,56.08,1.0196
Burn After Reading,2008,Relativity Media,78,64,Comedy,37,60.36,103.36,163.72,4.4247
Cadillac Records,2008,Sony,67,64,Biography,12,8.2,0.68,8.88,0.7396
Case 39,2010,Independent,23,42,Horror,26,13.26,14.93,28.19,1.0842
Cats & Dogs: The Revenge of Kitty Galore,2010,Independent,13,43,Action,85,43.59,68.9,112.49,1.3234
Changeling,2008,Independent,62,84,Drama,55,35.73,77.28,113.01,2.0547
Charlie St. Cloud,2010,Universal,27,62,Fantasy,44,31.16,14.93,46.09,1.0475
Charlie Wilson's War,2007,Universal,82,73,Biography,75,66.66,51.81,118.48,1.5797
Cirque du Freak: The Vampire's Assistant,2009,Universal,38,50,Action,40,14.04,20.32,34.36,0.859
City Island,2010,Independent,81,77,Comedy,6,6.67,1.19,7.86,1.31
City of Ember,2008,Independent,52,48,Adventure,38,7.84,10.05,17.89,0.4708
Clash of the Titans,2010,Warner Bros.,28,48,Action,125,163.21,330,493.21,3.9457
Cloudy with a Chance of Meatballs,2009,Sony,86,70,Animation,100,124.9,118.13,243.03,2.4303
Cloverfield,2008,Paramount,77,67,Action,25,80.05,90.72,170.77,6.8307
College Road Trip,2008,Buena Vista,13,56,Adventure,140,45.61,5.93,51.54,0.3681
Confessions of a Shopaholic,2009,Disney,24,53,Comedy,70,44.27,64.05,108.3,1.55
Conviction,2010,Independent,68,71,Biography,12.5,6.79,2.92,9.71,0.7768
Cop Out,2010,Warner Bros.,19,45,Action,30,44.88,10.64,55.52,1.8507
Coraline,2009,Universal,89,77,Animation,60,75.28,49.3,124.58,2.0763
Country Strong,2010,Sony,20,56,Drama,15,20.21,0.31,20.52,1.368
Couples Retreat,2009,Universal,12,47,Comedy,60,109.2,62.63,171.83,2.8638
Crank: High Voltage,2009,Lionsgate,62,54,Action,12.9,13.7,20.8,34.5,2.6744
Cyrus,2010,Independent,80,51,Comedy,7,7.47,2.45,9.92,1.4171
Daddy Day Camp,2007,Sony,1,63,Comedy,6,13.24,4.96,18.2,3.0329
Dance Flick,2009,Paramount,17,35,Action,25,25.66,5.77,31.43,1.2572
Date Night,2010,Fox,66,58,Comedy,55,98.71,53.55,152.26,2.7684
Daybreakers,2010,Lionsgate,67,50,Action,20,30.1,21.31,51.41,2.5705
Dear John,2010,Sony,29,66,Drama,25,80.01,34.96,114.97,4.5988
Death at a Funeral,2010,Independent,40,48,Comedy,21,42.74,6.31,49.05,2.3357
Death Race,2008,Universal,42,69,Action,45,36.1,39.36,75.46,1.6768
"Definitely, Maybe",2008,Universal,71,72,Comedy,7,32.01,23.2,55.21,7.8876
Despicable Me,2010,Universal,81,81,Animation,69,251.38,290.5,541.88,7.8533
Devil,2010,Independent,52,45,Horror,10,33.6,23.23,56.83,5.683
Diary of a Wimpy Kid,2010,Independent,53,49,Comedy,15,64,11.7,75.7,5.0467
Did You Hear About the Morgans?,2009,Sony,12,31,Comedy,58,29.58,55.7,85.28,1.4703
Dinner for Schmucks,2010,Paramount,43,47,Comedy,69,73.03,13.38,86.41,1.2523
Disaster Movie,2008,Lionsgate,2,28,Comedy,20,14.19,20.62,34.81,1.7405
District 9,2009,Independent,91,81,Action,30,115.6,95.17,210.77,7.0257
Disturbia,2007,Paramount,67,75,Thriller,20,80.21,37.55,117.76,5.888
Doomsday,2008,Relativity Media,48,47,Action,33,11.01,11.2,22.21,0.673
Doubt,2008,Independent,78,75,Drama,25,18.73,17.46,36.19,1.4476
Dr. Seuss' Horton Hears a Who!,2008,Fox,79,75,Animation,85,154.53,142.6,297.13,3.4956
Drag Me to Hell,2009,Universal,92,61,Horror,30,42.1,48.7,90.8,3.0267
Dragon Wars (aka D-War),2007,Mediaplex,27,44,Action,75,10.98,63.27,74.25,0.99
Dragonball Evolution,2009,Fox,15,28,Action,30,9.36,48.87,58.23,1.941
Drillbit Taylor,2008,Paramount,26,49,Comedy,40,32.86,16.82,49.68,1.2421
Due Date,2010,Warner Bros.,40,56,Comedy,50,99.65,100.9,200.55,4.011
Duplicity,2009,Universal,64,38,Romance,60,40.57,37.57,78.14,1.3023
Eagle Eye,2008,Paramount,27,72,Action,80,101.18,76.62,177.8,2.2225
Easy A,2010,Sony,85,75,Comedy,8,58.4,15.24,73.64,9.205
Eat Pray Love,2010,Sony,36,46,Drama,60,80.57,123.91,204.48,3.408
Edge of Darkness,2010,Warner Bros.,55,56,Crime,80,43.31,37.81,81.12,1.014
Enchanted,2007,Disney,93,80,Comedy,85,127.81,212.68,340.49,4.0057
Epic Movie,2007,Independent,2,38,Comedy,20,39.74,47.13,86.87,4.3433
Evan Almighty,2007,Universal,23,56,Comedy,175,100.46,72.93,173.39,0.9908
Everybody's Fine,2009,Miramax,46,55,Drama,21,9.2,7.2,16.4,0.781
Extract,2009,Miramax,62,37,Comedy,7.5,10.8,0.03,10.83,1.4433
Extraordinary Measures,2010,CBS,27,55,Drama,31,12.07,3.07,15.14,0.4884
Fame,2009,MGM,25,43,Comedy,18,22.5,55.5,78,4.3333
Fantastic Four: Rise of the Silver Surfer,2007,Fox,35,55,Action,130,131.92,157.13,289.05,2.2234
Fantastic Mr. Fox,2009,Fox,93,80,Animation,40,21,25.46,46.46,1.1615
Fast and Furious,2009,Universal,28,76,Action,85,155.1,208,363.1,4.2718
Faster,2010,CBS,41,50,Action,24,22.94,1.97,24.91,1.0379
Fired Up!,2009,Independent,22,52,Comedy,20,17.2,1.4,18.6,0.93
First Sunday,2008,Sony,13,59,Comedy,13,37.93,0.87,38.8,2.9848
Fool's Gold,2008,Warner Bros.,11,53,Adventure,72.5,70.23,39.13,109.36,1.5084
For Colored Girls,2010,Independent,33,73,Drama,21,37.69,17.32,55.01,2.6195
Forgetting Sarah Marshall,2008,Independent,85,75,Comedy,30,62.93,42,104.93,3.4977
Friday the 13th,2009,Paramount,25,52,Horror,19,65,26.4,91.4,4.8105
From Paris with Love,2010,Independent,38,57,Action,52,24.08,28.72,52.8,1.0154
Funny People,2009,Universal,68,58,Comedy,75,51.85,19.73,71.58,0.9544
Furry Vengeance,2010,Summit,8,36,Comedy,35,17.63,18.34,35.97,1.0277
G-Force,2009,Disney,22,50,Action,150,119.4,173.38,285.1,1.9007
G.I. Joe: The Rise of Cobra,2009,Paramount,33,62,Action,175,150.2,152.26,302.1,1.7263
Gamer,2009,Lionsgate,29,43,Action,12.5,20.53,20.29,40.82,3.2656
Get Him to the Greek,2010,Universal,73,63,Comedy,40,60.97,30.42,91.39,2.2848
Get Smart,2008,Warner Bros.,51,73,Action,80,130.32,100.37,230.69,2.8836
Ghost Rider,2007,Sony,28,56,Action,110,115.8,112.94,228.74,2.0794
Ghost Town,2008,Paramount,85,60,Comedy,20,13.25,13.71,26.96,1.348
Ghosts of Girlfriends Past,2009,Warner Bros.,27,47,Comedy,50,55.25,46.97,102.22,2.0444
Going the Distance,2010,Warner Bros.,53,56,Comedy,32,17.8,24.25,42.05,1.3141
Good Luck Chuck,2007,Lionsgate,3,61,Comedy,25,35.02,24.17,59.19,2.3677
Green Zone,2010,Universal,53,60,Action,100,35.05,59.82,94.87,0.9487
Grindhouse,2007,The Weinstein Company,82,86,Action,53,25.04,25.16,50.19,0.9471
Grown Ups,2010,Independent,10,59,Comedy,80,161.9,105.5,267.4,3.3425
Gulliver's Travels,2010,Fox,21,31,Comedy,112,42,194,236,2.1071
Hairspray,2007,Warner Bros.,92,84,Musical,75,118.87,83.68,202.55,2.7006
Halloween,2007,The Weinstein Company,26,64,Horror,20,58.27,20.2,78.47,3.9235
Halloween II,2009,Independent,20,45,Horror,15,33.39,6.02,39.41,2.6273
Hancock,2008,Sony,40,67,Action,150,227.95,396.44,624.39,4.1626
Hannah Montana: The Movie,2009,Disney,44,66,Comedy,35,79.58,70.52,150.1,4.2886
Happily N'Ever After,2007,Lionsgate,4,43,Animation,47,15.59,22.5,38.08,0.8103
Harold and Kumar Escape from Guantanamo Bay,2008,Warner Bros.,54,65,Adventure,12,38.11,5.38,43.49,3.6244
Harry Potter and the Deathly Hallows Part 1,2010,Warner Bros.,79,87,Adventure,125,295,660,955,7.64
